COMPOUND_ID,NAME_FOOD_DB,NEW_SMILES,FLAVOR_ID,NAME_FLAVOR,FLAVOR_GROUP
1028,Ethyl salicylate,CCOC(=O)c1ccccc1O,33.0,floral,floral
1344,Hydroxycitronellol,CC(CCO)CCCC(C)(C)O,33.0,floral,floral
1358,Butyl propionate,CCCCOC(=O)CC,34.0,rose,floral
1368,Methyl 3-phenylpropanoate,COC(=O)CCc1ccccc1,33.0,floral,floral
1371,Benzyl propionate,CCC(=O)OCc1ccccc1,29.0,jasmine,floral
1424,Methyl epijasmonate,CCC=CCC1C(=O)CCC1CC(=O)OC,29.0,jasmine,floral
1462,cis-beta-Ocimene,C=CC(C)=CCC=C(C)C,33.0,floral,floral
1659,(R)-Linden ether,CC1=CC2OCC(C)=C2CC1,33.0,floral,floral
1927,Prenol,CC(C)=CCO,30.0,lavender,floral
2288,Linalyl formate,C=CC(C)(CCC=C(C)C)OC=O,34.0,rose,floral
2289,Linalyl propionate,C=CC(C)(CCC=C(C)C)OC(=O)CC,31.0,lily,floral
2290,Linalyl isobutyrate,C=CC(C)(CCC=C(C)C)OC(=O)C(C)C,30.0,lavender,floral
2292,Linalyl isovalerate,C=CC(C)(CCC=C(C)C)OC(=O)CC(C)C,30.0,lavender,floral
2295,Linalyl benzoate,C=CC(C)(CCC=C(C)C)OC(=O)c1ccccc1,24.0,gardenia,floral
2297,Linalyl anthranilate,C=CC(C)(CCC=C(C)C)OC(=O)c1ccccc1N,22.0,blossom,floral
2728,Isoeugenol,CC=Cc1ccc(O)c(OC)c1,23.0,carnation,floral
2917,Undecanal,CCCCCCCCCCC=O,33.0,floral,floral
